"","COD_CENSO","ano","COD_ESC","TIPOENSINO_","ef"
"123",35041497,2016,41497,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"125",35042420,2015,42420,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"126",35042705,2013,42705,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"127",35042894,2014,42894,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"128",35043148,2014,43148,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"129",35044180,2014,44180,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"131",35045408,2015,45408,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"132",35045500,2014,45500,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"133",35045913,2016,45913,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"134",35046802,2013,46802,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"135",35047302,2014,47302,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"136",35047673,2013,47673,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"137",35048324,2014,48324,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"138",35048331,2015,48331,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"139",35048343,2016,48343,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"140",35048461,2014,48461,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"141",35048513,2014,48513,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"142",35049529,2015,49529,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"143",35049633,2015,49633,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"144",35049712,2014,49712,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"145",35049918,2014,49918,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"146",35049955,2015,49955,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"147",35065535,2016,65535,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"148",35070221,2014,70221,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"149",35267703,2013,267703,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"150",35435491,2014,435491,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"151",35446048,2014,446048,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"152",35446920,2014,446920,"EDUCACAO ESPECIAL - DA / EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ESPECTRO DO AUTISMO",1
"153",35461313,2015,461313,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"154",35462536,2013,462536,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"155",35462688,2014,462688,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"156",35462792,2014,462792,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"157",35474859,2015,474859,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"158",35479329,2014,479329,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"159",35479342,2014,479342,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"161",35495311,2015,495311,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"162",35497812,2014,497812,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"163",35498087,2014,498087,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"164",35565039,2015,565039,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"165",35902858,2016,902858,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"166",35903127,2014,903127,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"167",35903280,2014,903280,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"168",35903589,2015,903589,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"169",35903851,2016,903851,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"170",35905021,2014,905021,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"171",35905410,2016,905410,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"172",35907480,2014,907480,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"173",35909592,2015,909592,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"174",35909889,2015,909889,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"175",35911677,2015,911677,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"176",35913741,2014,913741,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"177",35914629,2016,914629,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ESPECTRO DO AUTISMO",1
"179",35918787,2015,918787,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"180",35920770,2014,920770,"EDUCACAO ESPECIAL - DA / EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"181",35921836,2014,921836,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"182",35922353,2014,922353,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ESPECTRO DO AUTISMO",1
"183",35922365,2013,922365,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"184",35922663,2014,922663,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"185",35922924,2016,922924,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"186",35923874,2016,923874,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"187",35924830,2014,924830,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"188",35925615,2013,925615,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"189",35925792,2014,925792,"ENSINO FUNDAMENTAL DE 9 ANOS",1
